roster_randomid,officialroster,ingradebookdata,insurveyparticipatedata,status,gender,eth2009rollupforreporting,agegroup,lowincomeflag,fulltimestatus,firstgenerationflag,homeprimarylang,admissionsstatusdetail,hsgpa,transfergpa,gpacumulative,firstregacadyr,firstregacadterm,major1
498458,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Full-time,Y,Non-English,Freshman,4,,,2014-15,Fall,Pharmaceutical Sciences
362123,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,18,N,Part-time,N,Non-English,Freshman,3.8499999,,,2015-16,Fall,Undeclared
168272,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
130996,Yes,Yes,Yes,Enrolled,Male,Unknown / declined to state,22,Y,Part-time,Y,Non-English,Transfer,,3.1400001,,2015-16,Fall,Biological Sciences
832591,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
321628,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,Y,Part-time,Y,Non-English,Freshman,4.2199998,,,2014-15,Fall,Pharmaceutical Sciences
885752,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
596216,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Full-time,N,Non-English,Freshman,4.0900002,,,2014-15,Fall,Pharmaceutical Sciences
147718,Yes,Yes,Yes,Enrolled,Male,Hispanic,19,Y,Part-time,MDT,Non-English,Freshman,4.1700001,,,2014-15,Fall,Undeclared
822133,Yes,Yes,Yes,Enrolled,Male,Unknown / declined to state,25-29,NAT,Part-time,NAT,Missing data,Not applicable,,,,2009-10,Fall,Pharmacology and Toxicology
614009,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,N,English/non-English,Freshman,4.1999998,,,2014-15,Fall,Biological Sciences
104716,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,N,Part-time,N,English only,Freshman,4.0700002,,,2014-15,Fall,Pharmaceutical Sciences
178174,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,Y,Full-time,Y,English/non-English,Freshman,3.3900001,,,2014-15,Fall,Biological Sciences
411700,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,Y,English only,Freshman,3.8099999,,,2014-15,Fall,Biological Sciences
677059,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,N,Part-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
887445,NO,,Yes,,,,,,,,,,,,,,,
571608,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,N,Full-time,Y,English only,Freshman,4.1500001,,,2013-14,Fall,Computer Game Science
592464,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,Y,English/non-English,Freshman,4.3600001,,,2014-15,Fall,Biological Sciences
346931,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,Y,Full-time,Y,English/non-English,Freshman,3.8499999,,,2014-15,Fall,Pharmaceutical Sciences
480786,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,N,Full-time,N,English only,Freshman,3.8599999,,,2013-14,Fall,Psychology and Social Behavior
620376,Yes,Yes,Yes,Enrolled,Female,"White, non-Hispanic",21,N,Full-time,N,English/non-English,Freshman,3.9000001,,,2013-14,Fall,Social Ecology
673701,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,Y,Full-time,Y,English only,Freshman,4.0900002,,,2013-14,Fall,Public Health Sciences
307656,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
370442,NO,,Yes,,,,,,,,,,,,,,,
557446,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Full-time,N,English only,Freshman,4.0500002,,,2014-15,Fall,Pharmaceutical Sciences
548808,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,Y,Full-time,Y,English/non-English,Freshman,4,,,2013-14,Fall,Biological Sciences
692379,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,Y,Full-time,Y,English/non-English,Freshman,3.8,,,2014-15,Fall,Biological Sciences
780207,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Full-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
861427,Yes,Yes,Yes,Enrolled,Female,Hispanic,19,Y,Full-time,Y,Non-English,Freshman,3.6500001,,,2015-16,Fall,Spanish
